objectid,title,File Status,display_template,object_location,identifier,type,latitude,longitude,date,Recorded Date 2,Recorded Date 3,Run Time HH:MM:SS:MS,Tags,Speaker,Incident,Mentioned Institutions,Mentioned Individuals,Locations,description,subject
,Tim and Adrienne's Wedding,Not Started,,,1,,,,1990-07-08,,,,Adrienne Anderson,,,,,,,
,"#1 Adrienne Anderson + Bonnie Exner; Nat'l Assn of Professional Environmental Communications, panel ""When Paradigms Clash""",Not Started,,,2,,,,1994-09-09,,,1:17:51,Adrienne Anderson,,,,,,,
,#2 Richard Moore CU Boulder,Not Started,,,3,,,,1994-04-19,,,,,,,,,,,
,#3 Jeff Edson at AA's Class; Bob Dempsey RMA prgrm Mgr. at AA's Class,Not Started,,,4,,,,1994-02-18,1994-04-01,,,"Rocky Mountain Arsenal,Adrienne Anderson",,,,,,,
,"#4 Bob Dempsey, RMA Program Manager at AA's Class, Part 2.  Adolf Aguilar Keynote Part 1",Not Started,,,5,,,,1994-04-01,1994-03-11,,,"Rocky Mountain Arsenal,Adrienne Anderson",,,,,,,
,"Lucinda + Everitt Boyd + AA, Tape 1",Not Started,,,6,,,,1996-04-26,,,,Adrienne Anderson,,,,,,,
,"AA's Class - Coors' Scott Smith; Lucinda + Everitt Boyd + AA, Tape 2",Not Started,,,7,,,,1996-04-23,1996-04-26,,1:27:12,Adrienne Anderson,,,,,,,
rmpjc8,AA on KGNU with Bob McFarland + Marty Walters,Transcribed,video,,8,sound,40.00753069,-105.2660461,1996-06-03,,,,"Adrienne Anderson,Rocky Flats,Radio,Hazardous Waste,Public Relations,Academic Censorship","Adrienne Anderson,Bob McFarland,Martin Walters","CU Censorship,Rocky Flats","Holme Roberts and Owens,Coors,Syntex,University of Colorado,MGA Thompson and Associates,Asarco,Martin Marietta,CU Foundation,Conoco,Amex,Manville Corporation,Colorado Environment 2000, Cotter Corporation,Public Service Company / Xcel,Rocky Mountain Arsenal,Shell Oil Company","Patty Shwayder,Janet Reno,Roy Romer,Norbert Armsdorf",Globeville; Golden; Clear Creek; Rocky Flats,"Anderson discusses her research methods class; active citizenship; corporate rhetoric versus student research; dialogue around controversial topics; public relations; threats to cancel class; ASARCO; Coors; pollution records; environmetal concerns; Denver Metro area; corporate funding at CU Boulder; Polluter Amnesty Bill; ""eco terrorism""",CU Censorship; Rocky Flats; Holme Roberts and Owens; Coors; Syntex; University of Colorado; MGA Thompson and Associates; Asarco; Martin Marietta; CU Foundation; Conoco; Amex; Manville Corporation; Colorado Environment 2000; Cotter Corporation; Public Service Company / Xcel; Rocky Mountain Arsenal; Shell Oil Company; Patty Shwayder; Janet Reno; Roy Romer; Norbert Armsdorf; Globeville; Golden; Clear Creek; Rocky Flats; Radio
,Adreinne Anderson at Bear Creek High School,Uploaded,,,9,,,,1990-04-20,,,,"Adrienne Anderson,Talk","Adrienne Anderson,Linda Shaw,Roy Romer","Friendly Hills,Collusion,Corruption","Martin Marietta,Environmental Protection Agency,Air Force, National Toxics Campaign,Colorado Department of Health,Denver Water Board,Colorado Environment 2000,Conoco","Bill Miller,William R. Van Natten,Jack Dice,Elmer Chenault,Duane Woodard,Tom Vernon,Roy Romer","Brush Creek,Lowry Landfill,Kassler Water Treatment Plant,Clear Creek,Rocky Flats,Chatfield Recreation Area,Ponca City","Anderson discusses illegal dumping on a Martin Marietta site; collusion between Denver water board and corporate entities; conflicts of interest between government and industry; pollution of drinking water; death of 15+ children; environmental democracy; criminal pollutors; National Toxics Campaign; individual responsibility, mayor Q&A",
,AA's class; EPA's Mark Herman Scott + CDH & E's Joe Vranka,Not Started,,,10,,,,1997-11-06,,,4:17:41,Adrienne Anderson,,,,,,,
