speaker,words,tags,timestamp
Adrienne Anderson,"A whole witch's brew of stuff up there, so there's the potential... there's the plan being announced as of we speak for five incinerators up in Northeast Denver that all would be contributing to the major air quality problems that we already have here, plus of some really deadly, deadly, deadly nasty stuff, and the state of Colorado has no, I repeat, no standards for toxic chemicals in air. We look at carbon monoxide, you know, the things that come out of your car, and that's what we're talking about when the mayor sits up and talks about the air, the brown cloud in Denver. They're measuring wood, wood particulates from fireplaces, so I don't know about you, but it doesn't make me very happy to think that the mayor of Denver and Governor Romer and all of our other politicians will encourage us not to burn logs in the fireplace when they were going to allow the army to incinerate toxic chemicals at Basin F. No, no. And we have no regulations, so see, you know, we'll see a thing where",incineration;rocky mountain arsenal;basin f,0:00:03
Juc Speaker,[unintelligible],,0:01:10
Adrienne Anderson,"Well, it's not right, it's just outrageous. It's absolutely outrageous, and you know, and so the city and the state will be able to say truthfully that they're not violating any state or federal laws, because there are no state and federal laws. There are no federal laws governing nerve gas in our air. There are no state standards for deodorant in the air, and that's the primary contaminant that was gassing these people in Irondale.",rocky mountain arsenal;basin f;irondale,0:01:18
Juc Speaker,"This whole thing is not new, though. When I was out there, I was in charge of monitoring for stacks when the North Flats area was working in building 1641 and in fact their rotary kiln was used to demil, as they call it, incinerate ammunition, which was alleged to be contaminated with pesticides, kits that contained possible traces of GB and mustard, and I was initially setting up a process to demil DM, which is disabling agent that contains very high levels of arsenic, which the army insists is relatively harmless, so this has been going on in the rotary kiln, which I understand is defunct now, can't use that anymore...",rocky mountain arsenal; incineration,0:01:46
Adrienne Anderson,Two of these...,,0:02:42
Juc Speaker,"But they, that's not new, you know. They've been doing that for a long time. When I was in charge of that project, they were using wet scrubbers, and from my information, that was a pretty clean operation. But I'm not really certain of what they were putting into the furnace. They were putting in a lot of metals, a lot of lead, a lot of arsenic, copper, probably zinc, mercury, and in fact, when I was there, I was also in charge of overseeing whether or not they were in compliance with their regulations. There are no regulations for any of these under EPA laws. Clean Air Act laws are the same now as they were in 1970.",incineration,0:02:43
Adrienne Anderson,"Six chemicals regulated in the Clean Air Act, and those six chemicals are being... we're in massive violation of those six chemicals now. No enforcement by either the state or the EPA.",,0:03:23
Juc Speaker,"That's probably true, yeah.",,0:03:43
Adrienne Anderson,Benzine in particular.,,0:03:35
Juc Speaker,"They did... I did shut the plant down on more than one occasion with the analysis that I was getting from our monitoring, I remember on two occasions, and when I would shut them down by not passing the test, the ongoing real-time test that was costing about a million bucks to stop operations, and it would shut it off for about a day, and then they go out, they'd go through the whole system, find out what was going on, you know, what was wrong, and then they'd start it up, then, but those were military things, there was no oversight. You know, the military was overseeing the military, and that type of technology wasn't good, they were bringing those kids in from all over the world, and we had huge supplies of DM out there that were being demiled too, I mean, lots in the bunkers out there. If you go on the east end of the facility, you'll see these bunkers, and they're kind of half hidden in the ground. There used to be a lot of tonnage of disabling agents out there. DM is a yellow powder, it came in bags about this big, and you'd have to mask up to handle it, to even take the bag out of the drum, and I would do that, and then I would take my equipment off in a room with negative pressure, and I would back away from the area where the negative pressure was being, and by the time I got out in the hallway, using all of the protective devices and equipment that were there, I would start sneezing, and by the time I got to the end of building 313 I could hardly see where I was going, and that was just a disabling agent. I mean, these agents are incredible. If you took one of those bags and flew over Denver in a light airplane and dumped it out, you would disable every person in Denver, one bag, and it's pretty light, fluffy stuff. It's got the consistency of flour in it.",rocky mountain arsenal,0:03:36
Adrienne Anderson,So there's all kinds of horrible stuff. These nerve gas agents that will paralyze on...,,0:05:26
Juc Speaker,"Well that's another agent, this is just a disabling agent, and this would kill people who were unhealthy. It would, you know, people with respiratory problems would die from it, I'm sure.",,0:05:31
