speaker,words,tags,timestamp
Phil Hufford,"It seems to work. Why don't we go ahead and start, and I'll just say that we are talking with Marge...",,0:00:00
Marge Culbert,Culbert.,,0:00:23
Phil Hufford,"Culbert, a resident of the Swansea neighborhood in Denver, and she has some materials here. Why don't you just maybe you should go ahead and just explain what this is for our listeners, and then read the report there.",,0:00:24
Marge Culbert,"Okay, this is a soil test report from the Extension Center at CSU, and it shows the salt, organic matter, nitrate, so on. And on the bottom of the report, it says the levels of fertilizer nutrients in this soil are sufficient for growing a good vegetable garden. The lead and cadmium levels for both these samples are higher than normal for Colorado soils. I know of no definite human health guidelines on how much of either element is too much, but counsel using good judgment in gardening and living nearby such soils. For example, don't let children play in such soils as they will often ingest soils by putting dirty fingers in their mouth. Any vegetables grown should be thoroughly washed to remove all soil particles. And finally, vegetables grown in such soils should not make up more than 10% of total vegetables consumed. Please also keep in mind that importing soil from other areas to fill in gardening containers may be a way to alleviate any concerns about eating vegetables grown in such soils. For further questions on the soil test, please phone Carl Wilson at 6925 600 he's with the Colorado State University, he's the extension agent.",,0:00:40
Phil Hufford,"Let me just do a sound check here, okay. Marge, why don't you just give me some, give me a health history or health status of your family right now?",,0:02:00
Marge Culbert,"My family's healthy, we have, we've lived here 28 years, and my family's healthy, but I find so many other families have thyroid problems, cancer over and above the national average. I imagine for the state that the city health and hospitals is going to do an environmental impact study to find out how much we have, we have in our have to deal with air, odor, groundwater, and soil before they allow... give the building material to the bio waste outfit, and and Jerry Kite is a, is a, as a nurse, and she'd probably be able to give you more information on that, truly.",bio waste incinerator,0:02:15
Phil Hufford,"Do you know, or can you give me some idea of the types of cancers, and maybe how you know, and just in your immediate block, or how many people are suffering from different maladies?",,0:03:10
Marge Culbert,"Well, the gentleman who had his soil sampled has carcinoma skin cancer. He's had it several times now, and they get it cleared up, and then it comes back again, and that's why their vegetables and stuff were dying. So, can you imagine what it's doing to us? Can't see it or smell it or taste it, but what's it doing to us?",,0:03:26
Phil Hufford,Maybe you can give me some background on the Asarco plant.,asarco,0:03:54
Marge Culbert,"Asarco is... Some of the things Asarco put out are cadmium, which causes cancer; lead, which causes brain damage; mercury, which is a real high poison. They're, they're all very toxic. They're a refinery smelter, yeah, a mental smelter plant. They put out cadmium dust and fumes, and they're highly hazardous. The DOT classifies them as as toxic or poison. The cleanup method is to pick up small pieces carefully to avoid dust clouds, which kind of is scary. It seems to, well, let's see, this is kind of a lot of stuff here that that most people don't understand, including me.",asarco,0:04:02
Phil Hufford,"How long has the Asarco plant been operating, or it's closed down, isn't it?",asarco,0:05:29
Marge Culbert,"No, no, no, no, it's not closed down. I believe it's been in operation since about 1924 I'm not sure if it's continuous or not, but yes, it still is working. I believe it causes, it's supposed to cause miscarriages and that sort of thing, and and it's scary to me, because if you read about Chernobyl, you know that that they're having mutants and and giant foliage and stuff, and it's it's right here in our neighborhood, and the wind blows our direction, so I'm not sure how far the flume comes. The soil report could be as a result of the highways, because those people have the highway right on them, you know, we're between three major highways, I-25 and 270 and I-70, so it could be as a result of the highways, we don't know what's causing it, but we sure wish it would get cleaned up.",asarco,0:05:35
Phil Hufford,You're talking about the cadmium?,,0:06:39
Marge Culbert,"The cadmium, and lead, and so on, that's in the soil. It could be from Asarco. We don't know. We don't know where it's coming from. However, the Denver Public Schools environmentalist is going to do some soil samples at Swansea and Garden Place, and the bus park, and he's going to have two independent outfits check, check the soil. He assures me that they check the water about three times a week. His name is Charlie Nadler. He's with.. he's.. he works for the Denver Public School Board, and he's going to have... I believe he had it done today. As a matter of fact, he told me he was going to have two independent outfits. Check it today for the soil.",,0:06:41
Phil Hufford,"Here, or? Check the soil here, or at the school?",,0:07:45
Marge Culbert,"At the school. Swansea, Garden Place, and 1805 East 48th Avenue. It's the bus. It's where the school busses are located for this area, I'd say about 38th and Brighton Boulevard.",,0:07:50
Phil Hufford,"Tell our listeners what it's like to live in this neighborhood, in terms of air quality, water, soil. I mean, do you know what it's.. what is it like to live here?",,0:08:06
Marge Culbert,"It's odiferous, is what it is. We get Purina, which they tell me is also putting out hazards, but my dog eats dog food, so... but it smells bad.",,0:08:20
Phil Hufford,"What, what hazards might Purina be putting out?",,0:08:34
Marge Culbert,"I'll find you this stuff.. they don't smell too good, though. I think Purina puts out some toxicity. I don't.. they're.. I imagine they're cleaning chemicals and that sort of thing that come out in their stacks and in their odors, and so on. We have Conoco right over here. We have Weaver Electric that has transformers that are leaking into the creek, of course. They're actually in Adams County, but they're just a few blocks from here, so they do affect us.",,0:08:37
Phil Hufford,"Do you know what they're leaking?",,0:09:14
Marge Culbert,"Cadmium, I believe that they're transformers and batteries, PCBs, PCBs. We also, we also are part of the Sand Creek NPL site, and it's 38th on the list.",superfund,0:09:16
Phil Hufford,"NPL, what's that?",superfund,0:09:44
Marge Culbert,"It's a national.. wait a minute, and I'll tell you, it's.. it's Superfund sites. It's 38 on the list nationally of the Superfund sites.",superfund,0:09:45
Phil Hufford,How far are you from the Sand Creek?,,0:09:57
Marge Culbert,"I believe we're part of it. I believe we're part of it. According to the map that I've seen, it runs from from York to Colorado Boulevard, or past Colorado Boulevard to Holly, and from 56th to 32nd and they had a chemical plant in there, they had, they had a, they had the chemical plant, and they had a refinery, the old Oregon refinery. They had something else, and I can't remember what it is. I do have the literature, but there again, I haven't looked at it lately, but it's that, that's something else that's scary, you know. We're surrounded with them, we're surrounded with Conoco, Public Service, the sewer treatment plant, Weaver electric storage, Purina, the farmers market over here, part of Sand Creek, the highways, we don't seem to have any relief anywhere. I feel like second-class citizens.",,0:10:00
Phil Hufford,"And now they want to put in an incinerator, right?","incineration, bio waste incinerator",0:11:16
Marge Culbert,"Right, a medical waste incinerator, and my understanding of what that will do is they will haul body parts, blood bags, syringes, gloves, soiled linens, and sharps, which are scalpels, and so on, and they want to incinerate them on 51st and York. Our school again is on 47th and Josephine, three blocks, and they assure us that it's going to be safe, but they assured us Rocky Flats was safe.",incineration;bio waste incinerator;rocky flats,0:11:20
Phil Hufford,"And I was speaking with Stacy. She mentioned Chem-Nuclear. Tell me, what you know about this Chem-Nuclear site.",,0:12:05
Marge Culbert,"What I know about Chem-Nuclear, as we went to the city council and got a six month moratorium. It was too late to keep the bio waste out, the bio waste incinerator out, but it was soon enough to keep Chem-Nuclear out, and at that time nobody knew who the EPA was going to give the bids to, so when we got it, it was for the whole city, not just for our area, but the moratorium was for the whole city, and Dave Doering introduced an amendment to it and exempted those people that were going to haul haul the nuclear waste. My understanding of it is, is there's 40 sites around the city that they're, that are part of the Superfund, that they're going to clean up, they're going to haul it over here and leave it for seven days for testing, and then put it on a rail and ship it to Idaho or Utah, or wherever, but they have to know if how it tests to know where to ship it.",superfund;bio waste incinerator;incineration,0:12:17
Phil Hufford,This is radioactive waste?,,0:13:24
Marge Culbert,"Yes, sir. Radioactive waste. My understanding is now, since our charrette, that the mayor and some of the other people are going to try to keep them from doing this, and either store it on site or put it on the boxcars and ship it, and then if it's not the right stuff, they'll have to ship it back.",,0:13:27
Phil Hufford,"Now, what is the nature of this holding site?",,0:13:49
Marge Culbert,"Well, they're supposed to be in conclusive, enclosed containers that are sealed, and they evidently, my understanding is, is when they put the stuff in, they test it, then they leave it for seven days until the test results come back, so they know where to ship it to, because if it's real highly active, radioactive, then they can't ship it to Utah, then it has to go back to the site that they got it from. Interesting, huh?",,0:13:53
Phil Hufford,And who was this again that made it possible for them to avoid the moratorium?,,0:14:26
Marge Culbert,"Dave Doering the councilman, Doering is the one that that introduced the the amendment to to the moratorium, and obviously it went through.",,0:14:34
Phil Hufford,What part of town does he represent? Do you know?,,0:14:48
Marge Culbert,"He represents his, his area is adjacent to ours. He represents right on the other side of the Platte River, I believe. Yeah, part of downtown,",,0:14:51
Phil Hufford,So like in the 50th Avenue area west of the Platte River.,,0:15:03
Marge Culbert,"I'm not sure if that's his area, if it's Debbie Ortega's. They, I know they both have part of the downtown area, and I'm not exactly sure where Councilman Doering's area is.",,0:15:11
Phil Hufford,"So the rest of the city council just went along with this, or was there any opposition?",,0:15:27
Marge Culbert,"Well, I'm a little angry because our councilwoman was supposed to let us know when the public hearing for the amendment was, and nobody knew it, so I have no idea.",,0:15:34
Phil Hufford,Who is your councilwoman?,,0:15:48
Marge Culbert,"Debbie Ortega, and I'm not real happy with her, to say the least. She said she wrote letters, but the people I've talked to nobody's gotten the letters, so I mean it's it's her word against theirs, so we didn't know about it. Couldn't go protest it.",,0:15:50
Phil Hufford,Has the Colorado Department of Health been out here? Have you had any representatives from them speak to you?,,0:16:12
Marge Culbert,"Yes, sir, we had a public meeting with the Health Department. It lasted about four hours, and they did make some regulations for their... Other, otherwise, they already issued an air quality permit to the incinerator on regulations they had, they did draft some new regulations, and we have a hearing with them again on July 20th at 1o'clock down at the health at the health department on 14th, and what is it, Cherry Hazard, a guess I'd say Cherry.",,0:16:19
Phil Hufford,And how about the Health and Hospitals Department of the City of Denver? What's been their involvement?,,0:17:03
Marge Culbert,"Well, we, we also had a meeting with them, a public meeting, and, and they, they, they're the ones that are holding up the whole thing at this point in time, because they haven't issued a building permit, and they will, and they will not issue a building permit for the incinerator until such a time as they do an environmental impact study, and to see how much we already have to deal with, and how much, in addition, the incinerator will give us to deal with if it's going to be too much, then I don't think they'll always show the building permit. Thank God. So that's where we're at now. Also, though, a lot of good stuff has come from this, because it's not just protecting our part of town, it's protecting everybody in town, anytime they can put any time they put something that's hazardous up, they'll do an environmental impact study from the charrette. The zoning is going to SI SIC SCI. I understand that every thing has every kind of employment has kind of a code. If the code is not hazardous, then they'll go ahead and issue a permit according to regular, regular things. If it is hazardous, then they'll take some steps and notify people, so that we have an understanding and can do something to keep them out before those people get a building permit, and that's not just for us, that's for the whole city, and that's wonderful. That's wonderful, because if they'll clear, you know, they've got a zoning ordinance that they have to have trees around parking lots, but trees are nothing compared to the stuff that that there was shooting up over the out of out of the stacks over the trees, scary in it.",,0:17:12
Phil Hufford,What has Mayor Peña's role been?,,0:19:16
Marge Culbert,"Well, he's been pretty supportive. We went to him right away when we found out about the waste, about the biochemical waste incinerator, and he, he in turn stopped it immediately, but the other permits still continued to go through, they have an air permit from the state health department, and so on. The other permits continued to go through, so it's Mayor Peña and Health and Hospitals at this point that are stopping the permit, the building permit, from going through. If they get the building permit, there's nothing we can do, they can start building their building anytime. Want to, and because it's zoned industrial too, they can build any kind of facility they want, any size they want, and we're one of the few places in the city that doesn't have a buffer zone. However, as a result of our charrette, they are going to introduce an ordinance to the city council sometime in late August or September that will give us a buffer zone, so a lot has been accomplished, but it's too bad it got so far before we knew what was going on. That's the sad part.",bio waste incinerator,0:19:21
Phil Hufford,Would you have any recommendations to other residents of Denver or in the Denver metropolitan area about measures they should take to protect themselves?,,0:20:43
Marge Culbert,"I would say find out what you have in your neighborhood and then then get together and let's try to get it cleaned up, because we're, we're adjacent to Commerce City, and I'd love it if they'd help us get some of this cleaned up, because it's in their city too. I think the reason we have so much of it is we are truly the outskirts of the city, but they have, they have it in Commerce City, they have Conoco, and again Weaver Electric and Public Service, and and they're trying to build an incinerator in Commerce City on 72nd.",bio waste incinerator;incineration,0:20:56
Phil Hufford,What kind of an incinerator?,bio waste incinerator;incineration,0:21:28
